vehicle;ramp;hf_lf_he;air_conditioner;place_for_transp_bicycles;voice_announcement_sys;ticket_machine;ticket_sales_by_the_driver;usb_charger
1876;1;1;1;1;1;2;0;0
1877;1;1;1;1;1;2;0;0
1878;1;1;1;1;1;2;0;0
1879;1;1;1;1;1;2;0;0
1880;1;1;1;1;1;2;0;0
1881;1;1;1;1;1;2;0;0
1882;1;1;1;1;1;2;0;0
1883;1;1;1;1;1;2;0;0
1884;1;1;1;1;1;2;0;0
1885;1;1;1;1;1;2;0;0
1886;1;1;1;1;1;2;0;0
1887;1;1;1;1;1;2;0;0
1888;1;1;1;1;1;2;0;0
1889;1;1;1;1;1;2;0;0
1890;1;1;1;1;1;0;0;0
1891;1;1;1;1;1;2;0;0
1892;1;1;1;1;1;2;0;0
1893;1;1;1;1;1;2;0;0
1901;1;1;1;1;1;0;0;1
1902;1;1;1;1;1;0;0;1
1903;1;1;1;1;1;0;0;1
1904;1;1;1;1;1;0;0;1
1905;1;1;1;1;1;0;0;1
1906;1;1;1;1;1;0;0;1
1907;1;1;1;1;1;0;0;1
1908;1;1;1;1;1;0;0;1
1909;1;1;1;1;1;0;0;1
1910;1;1;1;1;1;0;0;1
1911;1;1;1;1;1;0;0;1
1912;1;1;1;1;1;0;0;1
1913;1;1;1;1;1;0;0;1
1914;1;1;1;1;1;0;0;1
1915;1;1;1;1;1;0;0;1
1916;1;1;1;1;1;0;0;1
1917;1;1;1;1;1;0;0;1
1918;1;1;1;1;1;0;0;1
1919;1;1;1;1;1;0;0;1
1990;1;1;1;0;1;0;0;0
3001;1;1;1;0;0;0;1;0
3002;1;1;1;0;0;0;1;0
3003;1;1;0;0;0;0;1;0
3004;1;1;1;0;0;0;1;0
3005;1;1;0;0;0;0;1;0
3006;1;1;0;1;0;0;1;0
3007;0;1;0;0;0;0;1;0
3008;1;1;1;0;0;0;1;0
3009;1;1;1;1;0;0;1;0
3010;1;1;0;0;0;0;1;0
3011;1;1;0;0;0;0;1;0
3012;1;1;0;0;0;0;1;0
3013;0;1;1;0;0;0;1;0
3014;0;0;1;0;0;0;1;0
3016;1;1;1;1;0;0;1;1
3017;1;1;1;1;0;0;1;0
3018;1;1;1;1;0;0;1;0
3019;1;1;1;1;0;0;1;0
3020;1;1;1;1;0;0;1;1
3021;1;1;0;0;0;0;1;0
3022;1;1;1;1;1;0;1;0
3023;1;1;1;0;0;0;1;0
3024;1;1;1;0;0;0;1;0
3025;1;1;1;1;1;0;1;0
4301;1;0;1;0;1;0;1;0
4302;1;0;1;0;0;0;1;0
4304;0;0;0;0;0;0;1;0
4305;0;0;0;0;0;0;1;0
4306;0;0;0;0;0;0;1;0
4307;0;0;0;0;0;0;1;0
4308;0;0;0;0;0;0;1;0
4310;0;0;0;0;0;0;1;0
4311;1;0;0;0;0;0;1;0
4312;1;0;1;0;0;0;1;0
5034;1;1;1;1;0;0;1;0
5036;1;1;1;0;0;0;1;0
5037;1;1;1;0;0;0;1;0
5038;1;1;1;0;0;0;1;0
5039;1;1;1;0;0;0;1;0
5046;1;1;0;0;0;0;1;0
5051;1;1;0;0;1;0;1;0
5052;1;1;1;1;1;0;1;0
5053;1;1;1;1;1;0;1;0
5056;1;1;1;1;1;0;1;1
5057;1;1;1;1;1;0;1;1
5068;1;1;1;0;0;0;1;0
5070;1;1;1;0;0;0;1;0
5071;1;1;1;1;0;0;1;0
5072;1;1;1;1;0;0;1;0
5073;1;1;1;1;0;0;1;0
5074;1;1;1;1;0;0;1;0
5075;1;1;1;1;0;0;1;0
5078;1;1;1;0;0;0;1;0
5079;1;1;1;0;0;0;1;0
5084;1;1;1;0;0;0;1;0
5085;1;1;1;0;0;0;1;0
5086;1;1;1;1;0;0;1;0
5088;1;1;1;1;0;0;1;0
5092;1;1;1;0;0;0;1;0
5093;1;1;1;0;0;0;1;0
5097;1;1;1;1;1;0;1;1
5098;1;1;1;1;1;0;1;1
6050;1;1;1;1;1;0;1;0
6051;1;1;1;1;1;1;1;0
6052;1;1;1;1;1;0;1;0
6053;1;1;1;1;1;1;1;0
6054;1;1;1;1;1;1;1;0
6055;1;1;1;1;1;1;1;0
6056;1;1;1;1;1;0;1;0
6057;1;1;1;1;1;0;1;0
6058;1;1;1;1;1;0;1;0
6059;1;1;1;1;1;0;1;0
6060;1;1;1;1;1;0;1;0
6103;1;1;0;1;0;0;1;0
6104;0;1;0;0;0;0;1;0
6112;0;1;0;0;0;0;1;0
6114;1;1;1;0;0;0;1;0
6115;0;1;0;0;0;0;1;0
6116;0;1;0;0;0;0;1;0
6117;0;1;0;1;0;0;1;0
6123;0;1;0;1;0;0;1;0
6124;0;1;1;1;0;0;1;0
6125;0;1;0;1;0;0;1;0
6126;0;1;1;1;0;0;1;0
6127;1;1;1;0;0;0;1;0
6128;1;1;1;0;0;0;1;0
6130;0;1;0;0;0;0;1;0
6132;1;1;1;0;0;0;1;0
6133;1;1;1;0;0;0;1;0
6134;1;1;1;0;0;0;1;0
6135;1;1;1;1;0;0;1;0
6136;1;1;1;1;0;0;1;0
6137;1;1;1;1;0;0;1;0
7001;1;1;0;1;1;0;1;0
7002;1;1;0;1;1;0;1;0
7003;1;1;0;1;1;0;1;0
7004;1;1;0;1;1;0;1;0
7005;1;1;0;1;1;0;1;0
7006;1;1;1;1;0;0;1;0
7007;1;1;1;1;0;0;1;0
7008;1;1;1;0;1;0;1;0
7009;1;1;0;0;1;0;1;0
7010;1;1;0;0;1;0;1;0
7011;1;1;1;1;1;0;1;0
7012;1;1;0;1;0;0;1;0
7013;1;1;0;1;0;0;1;0
7014;1;1;0;1;0;0;1;0
7015;1;1;0;1;1;0;1;0
7016;1;1;0;1;0;0;1;0
7017;1;1;0;0;0;0;1;0
7026;0;0;0;0;0;0;1;0
7027;0;0;0;0;0;0;1;0
7031;1;1;1;1;1;0;1;1
7032;1;1;1;1;1;0;1;1
7033;1;1;1;1;1;0;1;1
7034;1;1;1;0;1;0;1;1
7035;1;1;1;0;1;0;1;1
7036;1;1;1;1;1;0;1;1
