route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
154,2,"154","SPŁAWIE - FRANOWO|KRZESINY - FRANOWO|FRANOWO - SPŁAWIE|FRANOWO - KRZESINY","SPŁAWIE - Spławie - Gospodarska - Szczepankowo - Wiatraczna - Kurlandzka - Szwajcarska - FRANOWO|KRZESINY - Pabianicka - Tarnowska - Ostrowska - Rodawska - Glebowa - Spławie - Gospodarska - Szczepankowo - Wiatraczna - Kurlandzka - Szwajcarska - FRANOWO|FRANOWO - Kurlandzka - Bobrzańska - Torowa - Ługańska - Szczepankowo - Gospodarska - Spławie - SPŁAWIE^K - w dni nauki szkolnej kurs wydłużony do pętli Krzesiny|FRANOWO - Szwajcarska - Kurlandzka - Bobrzańska - Torowa - Ługańska - Szczepankowo - Gospodarska - Spławie - Glebowa - Rodawska - Ostrowska - Tarnowska - Pabianicka - KRZESINY^K - w dni nauki szkolnej kurs wydłużony do pętli Krzesiny",3,525252,FFFFFF
155,2,"155","ZALASEWO PLANETARNA SZKOŁA - RONDO RATAJE|RONDO RATAJE - ZALASEWO PLANETARNA SZKOŁA","ZALASEWO PLANETARNA SZKOŁA - Zalasewo/Planetarna - Swarzędz/Graniczna - Swarzędz/Przybylskiego - Swarzędz/Szumana - Żywiczna - Borówki - Kobylepole - Piwna - Abpa Dymka - Chartowo - Wiatraczna - Milczańska - Brneńska - Krzywoustego - RONDO RATAJE|RONDO RATAJE - Jana Pawła II - Brneńska - Milczańska - Bobrzańska - Żegrze - Chartowo - Abpa Dymka - Piwna - Kobylepole - Borówki - Żywiczna - Swarzędz/Szumana - Swarzędz/Przybylskiego - Swarzędz/Graniczna - Zalasewo/Planetarna - ZALASEWO PLANETARNA SZKOŁA^Z - kurs wydłużony do pętli: Zalasewo/Os.Leśne",3,525252,FFFFFF
156,2,"156","KRZYŻOWNIKI - OGRODY|OGRODY - KRZYŻOWNIKI","KRZYŻOWNIKI - Słupska - Sianowska - Dąbrowskiego - OGRODY|OGRODY - Szpitalna - Nowina - Dąbrowskiego - Sianowska - Słupska - KRZYŻOWNIKI",3,525252,FFFFFF
157,2,"157","MOGILEŃSKA - RONDO ŚRÓDKA|RONDO ŚRÓDKA - MOGILEŃSKA","MOGILEŃSKA - Pusta - Warszawska - Browarna - Abpa Dymka - Abpa Baraniaka - Jana Pawła II - RONDO ŚRÓDKA|RONDO ŚRÓDKA - Abpa Baraniaka - Abpa Dymka - Browarna - Światopełka - Warszawska - Pusta - MOGILEŃSKA",3,525252,FFFFFF
158,2,"158","SYPNIEWO - STAROŁĘKA|STAROŁĘKA - SYPNIEWO","SYPNIEWO - Sypniewo - Głuszyna - Starołęcka - św. Antoniego - Książęca - STAROŁĘKA|STAROŁĘKA - Starołęcka - Głuszyna - Sypniewo - SYPNIEWO",3,525252,FFFFFF
159,2,"159","PORT LOTNICZY ŁAWICA - POZNAŃ GŁÓWNY|POZNAŃ GŁÓWNY - PORT LOTNICZY ŁAWICA","PORT LOTNICZY ŁAWICA - Bukowska - Zwierzyniecka - Dworcowa - POZNAŃ GŁÓWNY|POZNAŃ GŁÓWNY - Bukowska - PORT LOTNICZY ŁAWICA",3,525252,FFFFFF
160,2,"160","GARBARY - STRZESZYN|STRZESZYN - GARBARY","GARBARY - Garbary - Małe Garbary - Solna - Nowowiejskiego - al. Wielkopolska - Nad Wierzbakiem - Wojska Polskiego - Podolańska - Szczawnicka - Druskienicka - Zakopiańska - Kosowska - Strzeszyńska - Biskupińska - STRZESZYN^S - w dni nauki szkolnej kurs z wjazdem na przystanek: Safony|STRZESZYN - Strzeszyńska - Kosowska - Zakopiańska - Druskienicka - Szczawnicka - Podolańska - Wojska Polskiego - Nad Wierzbakiem - al. Wielkopolska - Nowowiejskiego - Solna - Garbary - GARBARY",3,525252,FFFFFF
161,2,"161","KRZYŻOWNIKI - OGRODY|OGRODY - KRZYŻOWNIKI","KRZYŻOWNIKI - Słupska - Dąbrowskiego - OGRODY|OGRODY - Szpitalna - Nowina - Dąbrowskiego - Słupska - KRZYŻOWNIKI",3,525252,FFFFFF
162,2,"162","RONDO RATAJE - RONDO RATAJE","RONDO RATAJE - Jana Pawła II - Piłsudskiego - Inflancka - Bobrzańska - Torowa - Pokrzywno - Pabianicka - Tarnowska - Ostrowska - Wiatraczna - Piłsudskiego - Krzywoustego - RONDO RATAJE^S - kurs przez przystanek: Spławie",3,525252,FFFFFF
163,2,"163","GARBARY - GÓRCZYN|GÓRCZYN - GARBARY","GARBARY - Garbary - Małe Garbary - Solna - al. Niepodległości - Święty Marcin - Bukowska - Grochowska - Marcelińska - Bułgarska - Jugosłowiańska - Ściegiennego - Zgoda - GÓRCZYN|GÓRCZYN - Ściegiennego - Jugosłowiańska - Bułgarska - Marcelińska - Grochowska - Bukowska - Zwierzyniecka - Święty Marcin - al. Niepodległości - Solna - Garbary - GARBARY",3,525252,FFFFFF
